Username,Party
FoxNews,R
WSJ,R
Forbes,R
nypost,R
BreitbartNews,R
InfoWars,R
RealClearNews,R
Drudge,R
RedState,R
NRO,R
voxdotcom,D
BuzzFeed,D
CNN,D
CBSNews,D
NBCNews,D
thehill,D
abcnews,D
politico,D
NPR,D
nytimes,D
